barcode,price
9556196008616,2.50
9556196008623,2.50
4710247000478,3.00
8888279103408,2.20
8888279103200,2.20
8888279103187,2.20
6971258742841,0.50
6971258742858,0.50
6971258743695,0.50
8992760121014,0.50
9555022301877,0.50
95500287,1.50
8906002482450,1.50
8888166995970,0.50
